LP,ZAKRES,ПЕРЕЧЕНЬ РАБОТ,ILOŚĆ,JM,CENA,WARTOŚĆ,KOMENTARZ,,ZMIANA +/-,CENA DOP,JM,WARTOŚĆ,KOMENTARZ,,FINAŁ,JM,WARTOŚĆ,,Progres,%,Wart Progres,,przedp,hol,kuch,salon,biuro,master,pok1,pok2,pok3,laz1,laz2,laz3,sch1,,PAKIET START,PAKIET COMFORT,PAKIET PRESTIGE,JM,WARTOŚĆ START,WARTOŚĆ COMFORT,WARTOŚĆ PRESTIGE,,MATERIAŁ 1,NA JM,ILOŚĆ,MATERIAŁ 2,NA JM,ILOŚĆ,MATERIAŁ 3,NA JM,ILOŚĆ,MATERIAŁ 4,NA JM,ILOŚĆ,MATERIAŁ 5,NA JM,ILOŚĆ,,Zakres,Cena J,J,Umowa il,Ilość,Wykonane il,KOM,,Marż J,Koszt Umowa,Profit Umowa,Marż W Umowa,Kwota,Profit Plan,Marż W Plan,Koszt Fakt,Profit Fakt,Marż W Fakt,,Pracownik,2024-09-05,Pracownik,2024-09-12,Pracownik,2024-09-19,Pracownik,2024-09-26,Pracownik,2024-10-03,Pracownik,2024-10-10,Pracownik,2024-10-17,Pracownik,2024-10-24,Pracownik,2024-10-31,Pracownik,2024-11-07,Pracownik,2024-11-14,Pracownik,2024-11-21,Pracownik,2024-11-28,Pracownik,2024-12-05,Pracownik,2024-12-12,Pracownik,2024-12-19
"4,19","Bateria prysznicowa podtynkowa - montaż końcowy (kpl deszczownica, słuchawka, sterownik)","Скрытый смеситель для душа - чистовой монтаж (комплект: дождик, регулятор, душ)","0,0",kpl,"214,50 zł","0,00 zł",,,,"214,50 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,0,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,"Скрытый смеситель для душа - чистовой монтаж (комплект: дождик, регулятор, душ)","80,00 zł",kpl,"0,0","0,0","0,0",,,63%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,20",Drążek (uchwyt) natryskowy z deszczownicą,Душевая штанга с тропическим душем,"0,0",szt,"132,00 zł","0,00 zł",,,,"132,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Душевая штанга с тропическим душем,"45,00 zł",szt,"0,0","0,0","0,0",,,66%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,21","Istniejący grzejnik łazienkowy (demontaż, zabezpieczenie na czas prac, montaż)",Существующий радиатор в ванной комнате (демонтаж/монтаж),"0,0",szt,"143,00 zł","0,00 zł",,,,"143,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,"0,0","0,0","0,0",,,0,0,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Существующий радиатор в ванной комнате (демонтаж/монтаж),"50,00 zł",szt,"0,0","0,0","0,0",,,65%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,22","Istniejący grzejnik pokojowy (demontaż, zabezpieczenie na czas prac, montaż)",Существующий комнатный обогреватель (демонтаж/монтаж),"0,0",szt,"203,50 zł","0,00 zł",,,,"203,50 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,0,0,0,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Существующий комнатный обогреватель (демонтаж/монтаж),"75,00 zł",szt,"0,0","0,0","0,0",,,63%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,23",Nowy grzejnik - podłączenia i instalacja,Новый радиатор,"0,0",szt,"544,50 zł","0,00 zł",,,,"544,50 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Новый радиатор,"200,00 zł",szt,"0,0","0,0","0,0",,,63%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,24",Instalacja przycisku pneumatycznego wc,Установка пневматического кнопочного унитаза,"0,0",szt,"565,95 zł","0,00 zł",,,,"565,95 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Установка пневматического кнопочного унитаза,"231,53 zł",szt,"0,0","0,0","0,0",,,59%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ELEKTRYKA STAN SUROWY,ЭЛЕТКРОМОНТАЖ ЧЕРНОВОЙ,,,,"0,00 zł",,,,,,"0,00 zł","0,00 zł",,,,"0,00 zł",,,0%,"0,00 zł",,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,,,,,,"0,00 zł","0,00 zł","0,00 zł",,,,,,,,,,,,,,,,,,ЭЛЕТКРОМОНТАЖ ЧЕРНОВОЙ,,,,,,,,,"0,00zł","0,00zł",0%,"0,00zł","0,00zł",0%,"0,00zł","0,00zł",0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,01","Relokacja skrzynki TS (demontaż starej, wnęka w ścianie na nową, montaż skrzynki nowej)","Перемещение  телетехнического щитка (демонтаж старого, ниша в стене под новый, монтаж коробки щитка)","0,0",kpl,"412,50 zł","0,00 zł",,,,"412,50 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,"Перемещение  телетехнического щитка (демонтаж старого, ниша в стене под новый, монтаж коробки щитка)","150,00 zł",kpl,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,02",Relokacja skrzynki TS (przełączanie),Перемещение электрощитка (коммутация),"0,0",kpl,"962,50 zł","0,00 zł",,,,"962,50 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Перемещение электрощитка (коммутация),"350,00 zł",kpl,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,03",Kanał podtynkowy kablowy w ścianie z bloczków,Канал скрытого монтажа под кабеля в стене с блочков,"0,0",mb,"385,00 zł","0,00 zł",,,,"385,00 zł",mb,"0,00 zł",,,"0,0",mb,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,mb,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Канал скрытого монтажа под кабеля в стене с блочков,"140,00 zł",mb,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,04",Kanał podtynkowy kablowy w ścianie z żelbetu,Канал скрытого монтажа под кабеля в стене с ж/б,"0,0",mb,"605,00 zł","0,00 zł",,,,"605,00 zł",mb,"0,00 zł",,,"0,0",mb,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,mb,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Канал скрытого монтажа под кабеля в стене с ж/б,"210,00 zł",mb,"0,0","0,0","0,0",,,65%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,05",Demontaż ramek istniejącego osprzętu elektrycznego,Демонтаж пластиков с розеток и выключателей (с упаковкой в пленку),"0,0",szt,"7,70 zł","0,00 zł",w tym zabezpieczenie,,,"7,70 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,0,0,0,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Демонтаж пластиков с розеток и выключателей (с упаковкой в пленку),"3,00 zł",szt,"0,0","0,0","0,0",,,61%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,06",Demontaż osprzętu elektrycznego (gniazdo),Демонтаж электрофурнитуры (только гнездо),"0,0",szt,"13,20 zł","0,00 zł",,,,"13,20 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Демонтаж электрофурнитуры (только гнездо),"5,00 zł",szt,"0,0","0,0","0,0",,,62%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,07",Montaż ramek elektrycznego z demontażu,Монтаж пластиков розеток и выключателей,"0,0",szt,"7,70 zł","0,00 zł",,,,"7,70 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,0,0,0,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж пластиков розеток и выключателей,"3,00 zł",szt,"0,0","0,0","0,0",,,61%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,08",Montaż maty grzewczej elektrycznej na podłogę,Установка теплого пола,"0,0",m2,"198,00 zł","0,00 zł",считать шлифовку пола,,,"198,00 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Установка теплого пола,"165,00 zł",m2,"0,0","0,0","0,0",,,17%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,09",Montaż maty grzewczej elektrycznej do ściany,Установка теплой стены,"0,0",m2,"330,00 zł","0,00 zł",считать шлифовку стены,,,"330,00 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Установка теплой стены,"150,00 zł",m2,"0,0","0,0","0,0",,,55%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,10",Montaż sterownika maty oraz doprowadzenie zasilania,Установка пульта управления теплым полом с подводкой питания,"0,0",kpl,"165,00 zł","0,00 zł",,,,"165,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Установка пульта управления теплым полом с подводкой питания,"75,00 zł",kpl,"0,0","0,0","0,0",,,55%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,11",Likwidacja punktu elektrycznego,"Ликвидация пункта электрики (обрезка кабеля, изоляция, защита изоляционным материалом)","0,0",kpl,"77,00 zł","0,00 zł",,,,"77,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,"Ликвидация пункта электрики (обрезка кабеля, изоляция, защита изоляционным материалом)","28,00 zł",kpl,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,12",Gniazdo 220v - nowe lub relokacja w ścianie z bloczków lub GK,Перенос или новая розетка 220 В в стене с блочков,"0,0",kpl,"115,50 zł","0,00 zł",,,,"115,50 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,"Puszka elektryczna, szt","1,00","0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Перенос или новая розетка 220 В в стене с блочков,"45,00 zł",kpl,"0,0","0,0","0,0",,,61%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,13",Gniazdo 220v - nowe lub relokacja w ścianie z żelbetu,Перенос или новая розетка 220 В в стене ж/б,"0,0",kpl,"154,00 zł","0,00 zł",,,,"154,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,"Puszka elektryczna, szt","1,00","0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Перенос или новая розетка 220 В в стене ж/б,"60,00 zł",kpl,"0,0","0,0","0,0",,,61%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,14",Łącznik pojedynczy - nowe lub relokacja w ścianie z bloczków lub GK,Одинарный  переключатель в стене с блочков,"0,0",kpl,"115,50 zł","0,00 zł",,,,"115,50 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,"Puszka elektryczna, szt","1,00","0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Одинарный  переключатель в стене с блочков,"45,00 zł",kpl,"0,0","0,0","0,0",,,61%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,15",Łącznik pojedynczy - nowe lub relokacja w ścianie z żelbetu,Одинарный  переключательв стене ж/б,"0,0",kpl,"154,00 zł","0,00 zł",,,,"154,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,"Puszka elektryczna, szt","1,00","0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Одинарный  переключательв стене ж/б,"60,00 zł",kpl,"0,0","0,0","0,0",,,61%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,16",Łącznik schodowy lub krzyżowy - nowe lub relokacja,Односторонний или перекрестный переключатель,"0,0",kpl,"115,50 zł","0,00 zł",,,,"115,50 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,"Puszka elektryczna, szt","1,00","0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Односторонний или перекрестный переключатель,"45,00 zł",kpl,"0,0","0,0","0,0",,,61%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,17",Łącznik Master - nowe lub relokacja,Главный выключатель,"0,0",kpl,"264,00 zł","0,00 zł",,,,"264,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,"Puszka elektryczna, szt","1,00","0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Главный выключатель,"90,00 zł",kpl,"0,0","0,0","0,0",,,66%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,18",Czujnik lub sterownik - nowe lub relokacja,Датчик или контроллер,"0,0",kpl,"165,00 zł","0,00 zł",,,,"165,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,"Puszka elektryczna, szt","1,00","0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Датчик или контроллер,"60,00 zł",kpl,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,19",Wypusty - nowe wyprowadzenie lub relokacja kabla zasilającego istniejącego,Перенос или новый вывод кабеля под освещение,"0,0",kpl,"108,90 zł","0,00 zł",,,,"108,90 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Перенос или новый вывод кабеля под освещение,"40,00 zł",kpl,"0,0","0,0","0,0",,,63%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,20",Gniazdo sieciowe / tv / multimedialne - nowe lub relokacja,Сетевая / телевизионная / мультимедийная розетка от щитка,"0,0",kpl,"385,00 zł","0,00 zł",,,,"385,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,"Puszka elektryczna, szt","1,00","0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Сетевая / телевизионная / мультимедийная розетка от щитка,"140,00 zł",kpl,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,21",Gniazdo siłowe do kuchenki - nowe lub relokacja,Розетка для плиты - перенос или новая,"0,0",kpl,"319,00 zł","0,00 zł",,,,"319,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,"Puszka elektryczna, szt","1,00","0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Розетка для плиты - перенос или новая,"66,15 zł",kpl,"0,0","0,0","0,0",,,79%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,22",Bruzdowanie i układanie kabli elektrycznych w tynku,Штробление и прокладка провода в штукатурке,"0,0",szt,"29,70 zł","0,00 zł",,,,"29,70 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Штробление и прокладка провода в штукатурке,"11,00 zł",szt,"0,0","0,0","0,0",,,63%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,23",Bruzdowanie i układanie kabli elektrycznych w ścianie z żelbetu,Штробление и прокладка провода в железобетонной стене,"0,0",szt,"38,50 zł","0,00 zł",,,,"38,50 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Штробление и прокладка провода в железобетонной стене,"14,00 zł",szt,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,24",Łatanie po kablach elektrycznych,Заделка швов после прокладки провода (штукатурка + унифлот),"0,0",szt,"38,50 zł","0,00 zł",,,,"38,50 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Заделка швов после прокладки провода (штукатурка + унифлот),"14,00 zł",szt,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,25",Doprowadzenie zasilania i przygotowanie wypustu do taśmy LED w podstopnicy,Вывод кабеля под LED на ступеньках,"0,0",kpl,"55,00 zł","0,00 zł",,,,"55,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Вывод кабеля под LED на ступеньках,"20,00 zł",kpl,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ELEKTRYKA BIAŁY MONTAŻ,ЭЛЕТКРОМОНТАЖ ЧИСТОВОЙ,,,,"0,00 zł",,,,,,"0,00 zł","0,00 zł",,,,"0,00 zł",,,0%,"0,00 zł",,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,,,,,,"0,00 zł","0,00 zł","0,00 zł",,,,,,,,,,,,,,,,,,ЭЛЕТКРОМОНТАЖ ЧИСТОВОЙ,,,,,,,,,"0,00zł","0,00zł",0%,"0,00zł","0,00zł",0%,"0,00zł","0,00zł",0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6,01",Transformator do taśmy led,Трансформатор для LED ленты,"0,0",szt,"82,50 zł","0,00 zł",,,,"82,50 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Трансформатор для LED ленты,"30,00 zł",szt,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6,02",Taśma LED,Монтаж LED ленты,"0,0",mb,"41,80 zł","0,00 zł","максимум 5 метров на один вывод, если больше то еще один пункт питания",,,"41,80 zł",mb,"0,00 zł",,,"0,0",mb,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,mb,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж LED ленты,"15,00 zł",mb,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6,03",Profil podtynkowy do taśmy LED,Врезка профиля для LED ленты,"0,0",mb,"77,00 zł","0,00 zł",,,,"77,00 zł",mb,"0,00 zł",,,"0,0",mb,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,mb,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Врезка профиля для LED ленты,"28,00 zł",mb,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6,04",Wklejenie i lutowanie taśmy LED w podstopnicy w przygotowany profil,Вклейка и пайка LED ленты в ступеньку в готовый профиль,"0,0",szt,"66,00 zł","0,00 zł",,,,"66,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Вклейка и пайка LED ленты в ступеньку в готовый профиль,"24,00 zł",mb,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
